SIGUN_CD,SIGUN_NM,STD_YM,CARD_PUBLCT_CNT,CARD_CHRGNG_AMT,CARD_USE_AMT,MOBILE_GIFTCERTF_USER_CNT,MOBILE_CHRGNG_AMT,MOBILE_USE_AMT,BRNHSTRM_GIFTCERTF_SALE_AMT,BRNHSTRM_GIFTCERTF_RETRVL_AMT
41800,연천군,2019-09,624.0,395582.0,69717.0,0.0,0.0,0.0,0.0,0.0
41110,수원시,2019-10,7390.0,5550020.0,3240156.0,0.0,0.0,0.0,0.0,0.0
41280,고양시,2019-10,5024.0,4542746.0,4017911.0,0.0,0.0,0.0,0.0,0.0
41460,용인시,2019-10,4852.0,3541329.0,2475938.0,0.0,0.0,0.0,0.0,0.0
41130,성남시,2019-10,0.0,7422980.0,6070857.0,3123.0,1193970.0,860925.0,1539810.0,1605200.0
41190,부천시,2019-10,6530.0,4895479.0,4859638.0,0.0,0.0,0.0,0.0,0.0
41590,화성시,2019-10,3977.0,3227898.0,3274822.0,0.0,0.0,0.0,0.0,0.0
41270,안산시,2019-10,4505.0,3490030.0,2742298.0,0.0,0.0,0.0,598940.0,1085860.0
41360,남양주시,2019-10,4396.0,3434683.0,1922439.0,0.0,0.0,0.0,0.0,0.0
41170,안양시,2019-10,2318.0,1795750.0,723214.0,0.0,0.0,0.0,994875.0,1608860.0
41220,평택시,2019-10,1465.0,1181750.0,436006.0,0.0,0.0,0.0,362280.0,761645.0
41390,시흥시,2019-10,0.0,0.0,0.0,4032.0,4263010.0,3225878.0,1037987.0,928500.0
41480,파주시,2019-10,3192.0,2352711.0,1433996.0,0.0,0.0,0.0,0.0,0.0
41150,의정부시,2019-10,2374.0,1674171.0,1093002.0,0.0,0.0,0.0,0.0,0.0
41570,김포시,2019-10,0.0,0.0,0.0,4387.0,3819558.0,5453928.0,0.0,0.0
41610,광주시,2019-10,2772.0,1897470.0,1232005.0,0.0,0.0,0.0,0.0,0.0
41210,광명시,2019-10,1742.0,1349211.0,862165.0,0.0,0.0,0.0,0.0,0.0
41410,군포시,2019-10,1785.0,1987328.0,2435273.0,0.0,0.0,0.0,0.0,0.0
41450,하남시,2019-10,3334.0,3819018.0,2596121.0,0.0,0.0,0.0,0.0,0.0
41370,오산시,2019-10,1396.0,976912.0,843401.0,0.0,0.0,0.0,0.0,0.0
41630,양주시,2019-10,1281.0,1514663.0,1102046.0,0.0,0.0,0.0,0.0,0.0
41500,이천시,2019-10,1305.0,1173344.0,749830.0,0.0,0.0,0.0,0.0,0.0
41310,구리시,2019-10,1462.0,1106018.0,679158.0,0.0,0.0,0.0,0.0,0.0
41550,안성시,2020-09,3136.0,5295759.0,5242438.0,0.0,0.0,0.0,0.0,0.0
41650,포천시,2020-09,1378.0,1980494.0,1830414.0,0.0,0.0,0.0,493855.0,314424.0
41430,의왕시,2020-09,3965.0,2166563.0,1962438.0,0.0,0.0,0.0,377525.0,324535.0
41830,양평군,2020-09,2105.0,4550837.0,4297598.0,0.0,0.0,0.0,0.0,0.0
41670,여주시,2020-09,1930.0,7305423.0,3790294.0,0.0,0.0,0.0,0.0,0.0
41250,동두천시,2020-09,999.0,1045748.0,946626.0,0.0,0.0,0.0,0.0,0.0
41820,가평군,2020-09,862.0,1052610.0,964030.0,0.0,0.0,0.0,356960.0,138150.0
41290,과천시,2020-09,1884.0,2231788.0,2373914.0,0.0,0.0,0.0,636865.0,827140.0
41800,연천군,2020-09,579.0,701049.0,666673.0,0.0,0.0,0.0,0.0,0.0
41110,수원시,2020-10,11603.0,18829900.0,20931698.0,0.0,0.0,0.0,0.0,0.0
41280,고양시,2020-10,10941.0,18871423.0,22812605.0,0.0,0.0,0.0,0.0,0.0
41460,용인시,2020-10,10791.0,16837933.0,18342834.0,0.0,0.0,0.0,0.0,0.0
41130,성남시,2020-10,0.0,5340648.0,0.0,13411.0,13777526.0,15055280.0,8055350.0,10382715.0
41190,부천시,2020-10,8810.0,15281675.0,17677246.0,0.0,0.0,0.0,0.0,0.0
41590,화성시,2020-10,7078.0,30489486.0,32642111.0,0.0,0.0,0.0,0.0,0.0
41270,안산시,2020-10,6408.0,24471608.0,25102425.0,0.0,0.0,0.0,2922020.0,2437995.0
41360,남양주시,2020-10,5674.0,11228473.0,12100844.0,0.0,0.0,0.0,0.0,0.0
41170,안양시,2020-10,7502.0,7079945.0,7298065.0,0.0,0.0,0.0,1820090.0,2175725.0
